memory_id,text,type,created_at,last_accessed_at,access_count,feedback,heuristic_score,days_since_accessed,human_label,human_score,notes
61e485e8,User wants to switch careers into AI,goal,2026-07-07,2026-07-11,0,none,0.499,18,,,
1a13a3ce,User wants to switch careers into AI,goal,2026-04-04,2026-07-25,17,positive,0.91,4,,,
a6ff20c6,User wants to lose 5 kg,goal,2026-06-25,2026-07-24,4,positive,0.809,5,,,
b388b083,User plans to run a marathon next year,goal,2026-04-26,2026-07-24,5,positive,0.822,5,,,
bd7a66ad,User is saving up to buy a house,goal,2026-07-04,2026-07-13,1,none,0.562,16,,,
37ef3363,User is preparing for interviews,goal,2026-07-14,2026-07-22,2,none,0.655,7,,,
a76edc0e,User wants to lose 5 kg,goal,2026-06-28,2026-07-11,1,none,0.549,18,,,
d09d0273,User wants to get better at DSA,goal,2026-07-15,2026-07-25,9,none,0.767,4,,,
9e0ec121,User is learning Spanish,goal,2026-06-06,2026-06-26,1,positive,0.572,33,,,
868ca2db,User wants to buy a house within five years,goal,2026-05-13,2026-07-08,0,positive,0.581,21,,,
3c52f4f6,User wants to learn Spanish,goal,2026-05-08,2026-06-26,1,none,0.472,33,,,
74668785,User wants to publish a research paper,goal,2026-06-27,2026-07-05,17,none,0.675,24,,,
b85b53ee,User wants to buy a house within five years,goal,2026-02-27,2026-07-02,1,none,0.5,27,,,
15fd0076,User wants to publish a research paper,goal,2026-03-24,2026-06-22,1,none,0.456,37,,,
509cb9b1,User wants to lose 5 kg,goal,2026-03-07,2026-06-13,0,none,0.373,46,,,
3f418d62,User is saving up to buy a house,goal,2026-06-05,2026-06-14,4,none,0.494,45,,,
f29c326d,User wants to get better at DSA,goal,2026-04-25,2026-06-14,1,none,0.427,45,,,
ef4d30b2,User wants to publish a research paper,goal,2026-04-12,2026-06-08,0,none,0.358,51,,,
