i,j,text_a,text_b,type_a,type_b,created_a,created_b,similarity,action
0,28,User's favorite color is blue,User's favorite color is blue,fact,fact,2026-05-19,2026-04-16,1.0,DUPLICATE
0,39,User's favorite color is blue,User's favorite color is blue,fact,fact,2026-05-19,2026-04-02,1.0,DUPLICATE
0,213,User's favorite color is blue,User's favorite color is blue,fact,fact,2026-05-19,2026-05-28,1.0,DUPLICATE
0,232,User's favorite color is blue,User's favorite color is blue,fact,fact,2026-05-19,2026-06-11,1.0,DUPLICATE
0,244,User's favorite color is blue,User's favorite color is blue,fact,fact,2026-05-19,2026-02-14,1.0,DUPLICATE
0,258,User's favorite color is blue,User's favorite color is blue,fact,fact,2026-05-19,2026-06-23,1.0,DUPLICATE
0,321,User's favorite color is blue,User's favorite color is blue,fact,fact,2026-05-19,2026-03-15,1.0,DUPLICATE
0,353,User's favorite color is blue,User's favorite color is blue,fact,fact,2026-05-19,2026-07-03,1.0,DUPLICATE
0,385,User's favorite color is blue,User's favorite color is blue,fact,fact,2026-05-19,2026-07-03,1.0,DUPLICATE
1,2,User watched a movie yesterday,User watched a movie yesterday,event,event,2026-02-27,2026-03-07,1.0,DUPLICATE
1,19,User watched a movie yesterday,User watched a movie yesterday,event,event,2026-02-27,2026-02-25,1.0,DUPLICATE
1,34,User watched a movie yesterday,User watched a movie yesterday,event,event,2026-02-27,2026-05-09,1.0,DUPLICATE
1,46,User watched a movie yesterday,User watched a movie yesterday,event,event,2026-02-27,2026-06-30,1.0,DUPLICATE
1,78,User watched a movie yesterday,User watched a movie yesterday,event,event,2026-02-27,2026-04-30,1.0,DUPLICATE
1,156,User watched a movie yesterday,User watched a movie yesterday,event,event,2026-02-27,2026-05-19,1.0,DUPLICATE
1,199,User watched a movie yesterday,User watched a movie yesterday,event,event,2026-02-27,2026-02-13,1.0,DUPLICATE
1,230,User watched a movie yesterday,User watched a movie yesterday,event,event,2026-02-27,2026-02-24,1.0,DUPLICATE
1,347,User watched a movie yesterday,User watched a movie yesterday,event,event,2026-02-27,2026-04-01,1.0,DUPLICATE
1,448,User watched a movie yesterday,User watched a movie yesterday,event,event,2026-02-27,2026-05-03,1.0,DUPLICATE
2,19,User watched a movie yesterday,User watched a movie yesterday,event,event,2026-03-07,2026-02-25,1.0,DUPLICATE
2,34,User watched a movie yesterday,User watched a movie yesterday,event,event,2026-03-07,2026-05-09,1.0,DUPLICATE
2,46,User watched a movie yesterday,User watched a movie yesterday,event,event,2026-03-07,2026-06-30,1.0,DUPLICATE
2,78,User watched a movie yesterday,User watched a movie yesterday,event,event,2026-03-07,2026-04-30,1.0,DUPLICATE
2,156,User watched a movie yesterday,User watched a movie yesterday,event,event,2026-03-07,2026-05-19,1.0,DUPLICATE
2,199,User watched a movie yesterday,User watched a movie yesterday,event,event,2026-03-07,2026-02-13,1.0,DUPLICATE
2,230,User watched a movie yesterday,User watched a movie yesterday,event,event,2026-03-07,2026-02-24,1.0,DUPLICATE
2,347,User watched a movie yesterday,User watched a movie yesterday,event,event,2026-03-07,2026-04-01,1.0,DUPLICATE
2,448,User watched a movie yesterday,User watched a movie yesterday,event,event,2026-03-07,2026-05-03,1.0,DUPLICATE
3,81,User has a cat named Whiskers,User has a cat named Whiskers,fact,fact,2026-06-18,2026-06-17,1.0,DUPLICATE
3,102,User has a cat named Whiskers,User has a cat named Whiskers,fact,fact,2026-06-18,2026-06-05,1.0,DUPLICATE
3,114,User has a cat named Whiskers,User has a cat named Whiskers,fact,fact,2026-06-18,2026-04-16,1.0,DUPLICATE
3,154,User has a cat named Whiskers,User has a cat named Whiskers,fact,fact,2026-06-18,2026-05-04,1.0,DUPLICATE
3,218,User has a cat named Whiskers,User has a cat named Whiskers,fact,fact,2026-06-18,2026-03-02,1.0,DUPLICATE
3,375,User has a cat named Whiskers,User has a cat named Whiskers,fact,fact,2026-06-18,2026-05-29,1.0,DUPLICATE
3,383,User has a cat named Whiskers,User has a cat named Whiskers,fact,fact,2026-06-18,2026-03-14,1.0,DUPLICATE
3,402,User has a cat named Whiskers,User has a cat named Whiskers,fact,fact,2026-06-18,2026-04-18,1.0,DUPLICATE
3,409,User has a cat named Whiskers,User has a cat named Whiskers,fact,fact,2026-06-18,2026-07-21,1.0,DUPLICATE
3,441,User has a cat named Whiskers,User has a cat named Whiskers,fact,fact,2026-06-18,2026-06-02,1.0,DUPLICATE
4,7,User is learning Spanish,User is learning Spanish,goal,goal,2026-07-05,2026-05-30,1.0,DUPLICATE
4,94,User is learning Spanish,User is learning Spanish,goal,goal,2026-07-05,2026-03-13,1.0,DUPLICATE
4,96,User is learning Spanish,User wants to learn Spanish,goal,goal,2026-07-05,2026-03-14,0.919,NEAR_DUPLICATE
4,104,User is learning Spanish,User wants to learn Spanish,goal,goal,2026-07-05,2026-05-30,0.919,NEAR_DUPLICATE
4,138,User is learning Spanish,User wants to learn Spanish,goal,goal,2026-07-05,2026-02-10,0.919,NEAR_DUPLICATE
4,152,User is learning Spanish,User is learning Spanish,goal,goal,2026-07-05,2026-02-03,1.0,DUPLICATE
4,181,User is learning Spanish,User is learning Spanish,goal,goal,2026-07-05,2026-04-16,1.0,DUPLICATE
4,182,User is learning Spanish,User is learning Spanish,goal,goal,2026-07-05,2026-04-08,1.0,DUPLICATE
4,216,User is learning Spanish,User is learning Spanish,goal,goal,2026-07-05,2026-03-16,1.0,DUPLICATE
4,270,User is learning Spanish,User wants to learn Spanish,goal,goal,2026-07-05,2026-05-16,0.919,NEAR_DUPLICATE
4,331,User is learning Spanish,User wants to learn Spanish,goal,goal,2026-07-05,2026-07-03,0.919,NEAR_DUPLICATE
4,358,User is learning Spanish,User wants to learn Spanish,goal,goal,2026-07-05,2026-06-29,0.919,NEAR_DUPLICATE
4,420,User is learning Spanish,User is learning Spanish,goal,goal,2026-07-05,2026-06-06,1.0,DUPLICATE
4,439,User is learning Spanish,User wants to learn Spanish,goal,goal,2026-07-05,2026-03-30,0.919,NEAR_DUPLICATE
4,458,User is learning Spanish,User wants to learn Spanish,goal,goal,2026-07-05,2026-05-08,0.919,NEAR_DUPLICATE
4,510,User is learning Spanish,User is learning Spanish,goal,goal,2026-07-05,2026-05-09,1.0,DUPLICATE
4,511,User is learning Spanish,User is now fluent in Spanish,goal,fact,2026-07-05,2026-06-18,0.786,EVOLVING
5,56,User wears glasses,User wears glasses,fact,fact,2026-04-02,2026-04-08,1.0,DUPLICATE
5,389,User wears glasses,User wears glasses,fact,fact,2026-04-02,2026-07-04,1.0,DUPLICATE
5,428,User wears glasses,User wears glasses,fact,fact,2026-04-02,2026-05-26,1.0,DUPLICATE
5,443,User wears glasses,User wears glasses,fact,fact,2026-04-02,2026-01-30,1.0,DUPLICATE
5,455,User wears glasses,User wears glasses,fact,fact,2026-04-02,2026-07-28,1.0,DUPLICATE
6,21,User visited the doctor last month,User visited the doctor last month,event,event,2026-04-27,2026-06-26,1.0,DUPLICATE
6,83,User visited the doctor last month,User visited the doctor last month,event,event,2026-04-27,2026-06-28,1.0,DUPLICATE
6,95,User visited the doctor last month,User visited the doctor last month,event,event,2026-04-27,2026-03-16,1.0,DUPLICATE
6,117,User visited the doctor last month,User visited the doctor last month,event,event,2026-04-27,2026-05-28,1.0,DUPLICATE
6,123,User visited the doctor last month,User visited the doctor last month,event,event,2026-04-27,2026-03-11,1.0,DUPLICATE
6,179,User visited the doctor last month,User visited the doctor last month,event,event,2026-04-27,2026-02-07,1.0,DUPLICATE
6,196,User visited the doctor last month,User visited the doctor last month,event,event,2026-04-27,2026-06-20,1.0,DUPLICATE
6,228,User visited the doctor last month,User visited the doctor last month,event,event,2026-04-27,2026-02-05,1.0,DUPLICATE
6,287,User visited the doctor last month,User visited the doctor last month,event,event,2026-04-27,2026-02-08,1.0,DUPLICATE
6,316,User visited the doctor last month,User visited the doctor last month,event,event,2026-04-27,2026-05-27,1.0,DUPLICATE
6,338,User visited the doctor last month,User visited the doctor last month,event,event,2026-04-27,2026-05-06,1.0,DUPLICATE
6,408,User visited the doctor last month,User visited the doctor last month,event,event,2026-04-27,2026-05-23,1.0,DUPLICATE
6,450,User visited the doctor last month,User visited the doctor last month,event,event,2026-04-27,2026-04-28,1.0,DUPLICATE
6,463,User visited the doctor last month,User visited the doctor last month,event,event,2026-04-27,2026-03-25,1.0,DUPLICATE
6,497,User visited the doctor last month,User visited the doctor last month,event,event,2026-04-27,2026-06-10,1.0,DUPLICATE
7,94,User is learning Spanish,User is learning Spanish,goal,goal,2026-05-30,2026-03-13,1.0,DUPLICATE
7,96,User is learning Spanish,User wants to learn Spanish,goal,goal,2026-05-30,2026-03-14,0.919,NEAR_DUPLICATE
7,104,User is learning Spanish,User wants to learn Spanish,goal,goal,2026-05-30,2026-05-30,0.919,NEAR_DUPLICATE
7,138,User is learning Spanish,User wants to learn Spanish,goal,goal,2026-05-30,2026-02-10,0.919,NEAR_DUPLICATE
7,152,User is learning Spanish,User is learning Spanish,goal,goal,2026-05-30,2026-02-03,1.0,DUPLICATE
7,181,User is learning Spanish,User is learning Spanish,goal,goal,2026-05-30,2026-04-16,1.0,DUPLICATE
7,182,User is learning Spanish,User is learning Spanish,goal,goal,2026-05-30,2026-04-08,1.0,DUPLICATE
7,216,User is learning Spanish,User is learning Spanish,goal,goal,2026-05-30,2026-03-16,1.0,DUPLICATE
7,270,User is learning Spanish,User wants to learn Spanish,goal,goal,2026-05-30,2026-05-16,0.919,NEAR_DUPLICATE
7,331,User is learning Spanish,User wants to learn Spanish,goal,goal,2026-05-30,2026-07-03,0.919,NEAR_DUPLICATE
7,358,User is learning Spanish,User wants to learn Spanish,goal,goal,2026-05-30,2026-06-29,0.919,NEAR_DUPLICATE
7,420,User is learning Spanish,User is learning Spanish,goal,goal,2026-05-30,2026-06-06,1.0,DUPLICATE
7,439,User is learning Spanish,User wants to learn Spanish,goal,goal,2026-05-30,2026-03-30,0.919,NEAR_DUPLICATE
7,458,User is learning Spanish,User wants to learn Spanish,goal,goal,2026-05-30,2026-05-08,0.919,NEAR_DUPLICATE
7,510,User is learning Spanish,User is learning Spanish,goal,goal,2026-05-30,2026-05-09,1.0,DUPLICATE
7,511,User is learning Spanish,User is now fluent in Spanish,goal,fact,2026-05-30,2026-06-18,0.786,EVOLVING
8,98,User wants to get better at DSA,User wants to get better at DSA,goal,goal,2026-04-25,2026-07-15,1.0,DUPLICATE
8,387,User wants to get better at DSA,User wants to get better at DSA,goal,goal,2026-04-25,2026-05-19,1.0,DUPLICATE
9,99,User is left-handed,User is left-handed,fact,fact,2026-02-16,2026-02-17,1.0,DUPLICATE
9,190,User is left-handed,User is left-handed,fact,fact,2026-02-16,2026-02-26,1.0,DUPLICATE
9,262,User is left-handed,User is left-handed,fact,fact,2026-02-16,2026-03-29,1.0,DUPLICATE
9,423,User is left-handed,User is left-handed,fact,fact,2026-02-16,2026-03-05,1.0,DUPLICATE
9,431,User is left-handed,User is left-handed,fact,fact,2026-02-16,2026-02-28,1.0,DUPLICATE
10,35,User attended a wedding last weekend,User attended a wedding last weekend,event,event,2026-02-03,2026-07-14,1.0,DUPLICATE
10,47,User attended a wedding last weekend,User attended a wedding last weekend,event,event,2026-02-03,2026-04-09,1.0,DUPLICATE
10,80,User attended a wedding last weekend,User attended a wedding last weekend,event,event,2026-02-03,2026-03-31,1.0,DUPLICATE
10,134,User attended a wedding last weekend,User attended a wedding last weekend,event,event,2026-02-03,2026-05-30,1.0,DUPLICATE
10,155,User attended a wedding last weekend,User attended a wedding last weekend,event,event,2026-02-03,2026-02-28,1.0,DUPLICATE
10,231,User attended a wedding last weekend,User attended a wedding last weekend,event,event,2026-02-03,2026-03-15,1.0,DUPLICATE
10,240,User attended a wedding last weekend,User attended a wedding last weekend,event,event,2026-02-03,2026-06-25,1.0,DUPLICATE
10,243,User attended a wedding last weekend,User attended a wedding last weekend,event,event,2026-02-03,2026-06-15,1.0,DUPLICATE
