memory_id,text,days_since_created,days_since_accessed,feedback_encoded,access_count_log,type_event,type_fact,type_goal,type_preference,type_task,human_score,human_label
00a1edc5,User attended a wedding last weekend,116,75,-1,0.0,True,False,False,False,False,0.3,delete
00dacb82,Renew driving license this month,112,11,0,3.044522437723423,False,False,False,False,True,0.15,delete
0390aeda,User had a job interview last week,52,6,-1,0.0,True,False,False,False,False,0.15,delete
0396fbaa,User wears glasses,64,45,-1,0.0,False,True,False,False,False,0.8,keep
042c7438,User works part-time at a bakery,131,49,0,1.6094379124341003,False,True,False,False,False,0.6,keep
04d53bbc,User dislikes long meetings,13,10,1,0.6931471805599453,False,False,False,True,False,0.85,keep
053ccdb3,User has two younger siblings,36,14,-1,0.0,False,True,False,False,False,0.18,delete
06d48efa,Book flight tickets before price increase,41,20,0,1.6094379124341003,False,False,False,False,True,0.75,keep
08b93e13,User had a job interview last week,84,3,0,0.6931471805599453,True,False,False,False,False,0.55,keep
0afe7f69,User wants to publish a research paper,100,53,0,0.6931471805599453,False,False,True,False,False,0.9,keep
0ef27a04,Finish reading the assigned book by next week,23,12,0,2.4849066497880004,False,False,False,False,True,0.75,keep
0faa538f,User visited the doctor last month,67,21,0,1.6094379124341003,True,False,False,False,False,0.15,delete
0fbfc4fc,User wants to learn guitar,126,67,0,0.6931471805599453,False,False,True,False,False,0.65,keep
1011f2ba,User wants to run a marathon next year,132,127,0,2.302585092994046,False,False,True,False,False,0.65,keep
106060ca,User wants to learn Spanish,26,13,0,0.6931471805599453,False,False,True,False,False,0.7,keep
12ec94ff,User prefers tea over coffee,156,36,0,0.6931471805599453,False,False,False,True,False,0.85,keep
12eff540,User prefers working late at night,78,66,0,0.0,False,False,False,True,False,0.85,keep
13de16a5,User owns a dog named Max,52,1,0,0.0,False,True,False,False,False,0.6,keep
15fd0076,User wants to publish a research paper,127,37,0,0.6931471805599453,False,False,True,False,False,0.48,delete
167fda3b,User's hometown is Pune,117,11,0,1.3862943611198906,False,True,False,False,False,0.8,keep
19a4bb16,User is left-handed,146,15,-1,3.332204510175204,False,True,False,False,False,0.8,keep
1a13a3ce,User wants to switch careers into AI,116,4,1,2.8903717578961645,False,False,True,False,False,0.91,keep
1bb96bef,User wears glasses,112,0,0,0.6931471805599453,False,True,False,False,False,0.8,keep
1bfffb66,User dislikes spicy food,20,5,0,0.6931471805599453,False,False,False,True,False,0.85,keep
1d0ffb76,User wants to buy a house within five years,166,152,0,1.6094379124341003,False,False,True,False,False,0.65,keep
1fbfddeb,User wants to buy a house within five years,139,126,0,1.791759469228055,False,False,True,False,False,0.7,keep
1fe308d3,Submit assignment by Monday,93,32,0,1.3862943611198906,False,False,False,False,True,0.15,delete
2047b7a2,User studied at NK Orchid College,179,111,0,0.6931471805599453,False,True,False,False,False,0.8,keep
20b3bd33,User wants to learn Spanish,121,67,-1,1.6094379124341003,False,False,True,False,False,0.7,keep
21de5852,User likes detailed explanations,25,20,1,1.0986122886681098,False,False,False,True,False,0.85,keep
21e89f8d,User prefers Android over iOS,140,62,1,1.9459101490553132,False,False,False,True,False,0.75,keep
23efa631,User wants to buy a house within five years,125,80,0,0.6931471805599453,False,False,True,False,False,0.7,keep
2494c296,User has a cat named Whiskers,104,65,0,3.332204510175204,False,True,False,False,False,0.6,keep
25f5726f,User is saving up to buy a house,81,15,0,0.6931471805599453,False,False,True,False,False,0.7,keep
2611f952,Submit assignment by Monday,77,20,0,3.2188758248682006,False,False,False,False,True,0.15,delete
261d259e,User's birthday is in March,108,67,0,0.0,False,True,False,False,False,0.8,keep
26ee0a15,User prefers dark mode,67,53,-1,0.0,False,False,False,True,False,0.25,delete
275bb01d,User attended a wedding last weekend,151,55,0,1.3862943611198906,True,False,False,False,False,0.6,keep
28560818,Call the dentist to reschedule appointment,47,1,0,0.6931471805599453,False,False,False,False,True,0.75,keep
29c7e870,User attended a college hackathon,16,16,0,2.1972245773362196,True,False,False,False,False,0.55,keep
29fe05e0,User plans to run a marathon next year,172,63,1,1.6094379124341003,False,False,True,False,False,0.65,keep
2a8c62e3,Submit assignment by Monday,99,48,0,0.6931471805599453,False,False,False,False,True,0.15,delete
2c12f73f,User likes minimalist design,31,15,0,0.0,False,False,False,True,False,0.85,keep
2cfef8c2,Renew driving license this month,117,0,0,1.6094379124341003,False,False,False,False,True,0.15,delete
2d3386db,Renew driving license this month,178,76,1,0.6931471805599453,False,False,False,False,True,0.15,delete
2f70dccf,User visited the doctor last month,31,2,0,0.6931471805599453,True,False,False,False,False,0.55,keep
2fca32d8,Finish reading the assigned book by next week,174,153,1,1.0986122886681098,False,False,False,False,True,0.15,delete
30359715,User wants to lose 5 kg,117,34,0,0.6931471805599453,False,False,True,False,False,0.7,keep
30a33a4f,User is left-handed,163,43,-1,0.6931471805599453,False,True,False,False,False,0.8,keep
30ba93d3,User's favorite color is blue,26,8,0,1.3862943611198906,False,True,False,False,False,0.6,keep
3236d751,User owns a dog named Max,9,7,-1,1.0986122886681098,False,True,False,False,False,0.18,delete
329e758d,Finish reading the assigned book by next week,70,13,0,0.0,False,False,False,False,True,0.15,delete
3405e3b4,User prefers Android over iOS,109,101,0,0.6931471805599453,False,False,False,True,False,0.75,keep
34301a13,User has a cat named Whiskers,86,31,0,0.6931471805599453,False,True,False,False,False,0.6,keep
366fa612,Return the library books by Thursday,143,61,0,1.791759469228055,False,False,False,False,True,0.15,delete
37ef3363,User is preparing for interviews,15,7,0,1.0986122886681098,False,False,True,False,False,0.78,keep
37fc3b4d,User prefers Android over iOS,34,15,-1,0.6931471805599453,False,False,False,True,False,0.25,delete
3818af63,User is allergic to peanuts,85,14,0,0.6931471805599453,False,True,False,False,False,0.8,keep
395f34f8,User's mother tongue is Marathi,30,21,1,1.6094379124341003,False,True,False,False,False,0.8,keep
3b78ebc9,Send the report to manager by end of day,163,31,0,0.6931471805599453,False,False,False,False,True,0.15,delete
3b86ae58,User owns a dog named Max,12,6,0,1.791759469228055,False,True,False,False,False,0.6,keep
3c52f4f6,User wants to learn Spanish,82,33,0,0.6931471805599453,False,False,True,False,False,0.52,keep
3d2ade40,User wants to publish a research paper,146,49,0,3.258096538021482,False,False,True,False,False,0.7,keep
3f418d62,User is saving up to buy a house,54,45,0,1.6094379124341003,False,False,True,False,False,0.4,delete
40cd8972,User watched a movie yesterday,119,90,0,1.3862943611198906,True,False,False,False,False,0.15,delete
40eb9e6c,User likes minimalist design,168,39,-1,1.0986122886681098,False,False,False,True,False,0.25,delete
413e7cca,User's favorite color is blue,165,147,0,0.6931471805599453,False,True,False,False,False,0.25,delete
41ac99a2,User is saving up to buy a house,124,24,-1,1.3862943611198906,False,False,True,False,False,0.2,delete
43f5bb6c,Return the library books by Thursday,37,36,0,0.6931471805599453,False,False,False,False,True,0.75,keep
45108770,User is saving up to buy a house,147,2,-1,0.6931471805599453,False,False,True,False,False,0.2,delete
451195ac,User visited the doctor last month,63,63,0,1.6094379124341003,True,False,False,False,False,0.15,delete
45f26580,User likes detailed explanations,126,13,0,0.6931471805599453,False,False,False,True,False,0.85,keep
4727e5c5,User likes minimalist design,162,47,0,1.3862943611198906,False,False,False,True,False,0.85,keep
47b42bcf,User attended a college hackathon,20,15,0,0.6931471805599453,True,False,False,False,False,0.55,keep
488c00a9,User prefers written instructions over videos,99,29,0,0.6931471805599453,False,False,False,True,False,0.85,keep
498c28d8,User owns a dog named Max,108,49,0,1.0986122886681098,False,True,False,False,False,0.6,keep
4a85b68d,User prefers Android over iOS,29,1,0,1.791759469228055,False,False,False,True,False,0.85,keep
4b8a7332,User has two younger siblings,89,89,0,3.1780538303479458,False,True,False,False,False,0.22,delete
4c0a4fa0,User plans to run a marathon next year,156,130,1,2.9444389791664403,False,False,True,False,False,0.7,keep
4cab7857,User is saving up to buy a house,87,64,0,1.791759469228055,False,False,True,False,False,0.65,keep
4cabbfd7,User prefers working late at night,90,27,0,1.3862943611198906,False,False,False,True,False,0.8,keep
4cdbd9d4,User watched a movie yesterday,154,82,0,0.0,True,False,False,False,False,0.15,delete
4d117192,User watched a movie yesterday,90,28,1,3.4339872044851463,True,False,False,False,False,0.15,delete
4db569aa,User's phone number ends in 4471,27,25,0,0.0,False,True,False,False,False,0.8,keep
4e6aca9b,User celebrated their birthday recently,6,6,0,0.0,True,False,False,False,False,0.55,keep
4eec7375,User is saving up to buy a house,168,135,-1,3.332204510175204,False,False,True,False,False,0.2,delete
4f2d192b,User is preparing for interviews,95,40,-1,1.791759469228055,False,False,True,False,False,0.7,keep
4fd81819,User watched a movie yesterday,29,2,0,0.0,True,False,False,False,False,0.55,keep
4fdcbb25,User went on a trip to Goa,83,13,0,1.0986122886681098,True,False,False,False,False,0.55,keep
503f8e5a,User owns a dog named Max,122,78,0,0.6931471805599453,False,True,False,False,False,0.6,keep
5061f9e7,User had a job interview last week,170,81,0,0.0,True,False,False,False,False,0.15,delete
509cb9b1,User wants to lose 5 kg,144,46,0,0.0,False,False,True,False,False,0.39,delete
515d8519,User wants to lose 5 kg,17,3,0,0.6931471805599453,False,False,True,False,False,0.7,keep
516f8f18,User attended a wedding last weekend,136,93,-1,1.791759469228055,True,False,False,False,False,0.15,delete
5193c191,User watched a movie yesterday,166,108,1,0.6931471805599453,True,False,False,False,False,0.15,delete
52077403,User celebrated their birthday recently,133,37,0,0.6931471805599453,True,False,False,False,False,0.15,delete
524c3a03,Renew driving license this month,117,95,0,1.6094379124341003,False,False,False,False,True,0.15,delete
527336d8,User wants to run a marathon next year,13,13,0,0.0,False,False,True,False,False,0.7,keep
52c98861,Return the library books by Thursday,175,132,0,2.3978952727983707,False,False,False,False,True,0.15,delete
539c393a,User has two younger siblings,132,71,0,3.044522437723423,False,True,False,False,False,0.6,keep
53d23963,User prefers dark mode,102,80,-1,1.6094379124341003,False,False,False,True,False,0.3,delete
54052f9c,User is saving up to buy a house,65,3,0,2.6390573296152584,False,False,True,False,False,0.7,keep
558ea917,User likes minimalist design,125,61,1,2.9444389791664403,False,False,False,True,False,0.85,keep
5874d7d1,User's phone number ends in 4471,34,11,0,0.6931471805599453,False,True,False,False,False,0.8,keep
58dba2c8,User wants to learn guitar,179,169,0,1.791759469228055,False,False,True,False,False,0.65,keep
5908e605,Return the library books by Thursday,44,22,0,1.3862943611198906,False,False,False,False,True,0.75,keep
5913b2bb,User prefers working late at night,99,14,1,1.3862943611198906,False,False,False,True,False,0.85,keep
59b314f3,User likes concise answers,4,1,0,0.6931471805599453,False,False,False,True,False,0.85,keep
5a0be95b,User wants to buy a house within five years,70,53,0,0.6931471805599453,False,False,True,False,False,0.7,keep
5c49112e,User wants to learn Spanish,60,18,1,3.367295829986474,False,False,True,False,False,0.9,keep
5c79c33b,User attended a college hackathon,114,1,1,0.6931471805599453,True,False,False,False,False,0.55,keep
